**106;7;TOOLONG          FU      Z99 
//SimpliSafe.com.        FU      Z99 
counseling               NN1     Z99 
counterpoint             NN1     Z99 
highway-robbery          JJ      Z99 
Job-loss                 JJ      Z99 
job-training             JJ      Z99 
Laurans                  NP2     Z99 
pawn-shop-ready          JJ      Z99 
public-speaking          JJ      Z99 
Re-Entry                 NN1     Z99 
SimpliSafe               NN1     Z99 
SimpliSafe               NP1     Z99 
SimpliSafe               NP1@    Z99 
SimpliSafes              NP2     Z99 
systemswire              NN1     Z99 
weve                     NN1     Z99 
wire-cutters             NN2     Z99 
wouldnt                  NN1     Z99 
