**144;7;TOOLONG          FU      Z99 
48F                      RA      Z99 
7C                       FO      Z99 
@MailOnline              FO      Z99 
Babycham                 NP1     Z99 
brut-al                  JJ      Z99 
Bullyboy                 NN1     Z99 
cava                     NN1     Z99 
Chavs                    NN2     Z99 
gloating                 NN1@    Z99 
Greggs                   NP2     Z99 
medium-size              JJ      Z99 
No10                     FO      Z99 
No11                     FO      Z99 
Pastygate                NP1     Z99 
Pastygate                VV0     Z99 
poltroons                NN2     Z99 
Pomagne                  NP1     Z99 
prosecco                 NN1     Z99 
pusillanimous            JJ      Z99 
quaff                    NN1     Z99 
Reckitt                  NP1     Z99 
Respeck                  NN1     Z99 
room-temperature         JJ      Z99 
shouldnt                 VVI     Z99 
Theakston                NP1     Z99 
theyre                   NN1     Z99 
toffs                    VVZ     Z99 
TRIC                     JJ      Z99 
Twitter                  NN1     Z99 
u-turn                   NN1     Z99 
