#elton                   FO      Z99 
#screwthestones          FO      Z99 
@eltonjohnny78           FO      Z99 
Doobie                   NP1     Z99 
DPW                      NP1     Z99 
embers                   NN2     Z99 
erectile                 JJ      Z99 
fest-long                JJ      Z99 
harder-rocking           JJR     Z99 
honor                    VVI     Z99 
intern                   VV0     Z99 
lakefront                NN1     Z99 
Marquette                NN1     Z99 
piggybacking             VVG     Z99 
Summerfest               NP1     Z99 
Summerfest               NP1@    Z99 
Twitter                  NN1     Z99 
WKLH                     NP1     Z99 
