#HalldronCollider        FO      Z99 
145-year-old             JJ      Z99 
Adele                    NP1     Z99 
CERN                     NP1     Z99 
CERNs                    NP2     Z99 
Collider                 NN1     Z99 
Gershwin                 NP1     Z99 
Hadron                   NN1     Z99 
hashtag                  NN1     Z99 
Interstellar             JJ      Z99 
Jonk                     NN1     Z99 
Laughed                  VVD     Z99 
LHC                      NP1     Z99 
scaled-down              JJ      Z99 
supersymmetric           JJ      Z99 
theyre                   NN1     Z99 
Weve                     NP1     Z99 
weve                     VV0     Z99 
Wim                      VV0     Z99 
