#Bradford                FO      Z99 
#libelGalloway           FO      Z99 
**26;34;TOOLONG          FU      Z99 
**26;7;TOOLONG           FU      Z99 
@anitathetweeter         FO      Z99 
@BradfordBrewery         FO      Z99 
@georgegalloway          FO      Z99 
@joeoliver               FO      Z99 
@LouiseMensch            FO      Z99 
@WillMcHoebag            FO      Z99 
Bradford-based           JJ      Z99 
hashtag                  NN1     Z99 
re-tweeted               VVD     Z99 
tweet                    NN1     Z99 
tweeted                  VVD     Z99 
tweeting                 VVG     Z99 
tweets                   NN2     Z99 
Twitter                  NN1     Z99 
unhinged                 VVN     Z99 
