#PanamaPapers            FO      Z99 
$5bn                     NNU     Z99 
AFP                      NN1     Z99 
app                      NN1     Z99 
Assad                    NP1     Z99 
BBCiPlayer               NP1     Z99 
BVI                      JJ      Z99 
BVI                      NP1     Z99 
Daedong                  NN1     Z99 
DCB                      NP1     Z99 
Drex                     NN1     Z99 
Drex                     NP1     Z99 
EPA                      NP1     Z99 
Fonseca                  NP1     Z99 
iPlayer                  NN1     Z99 
Makhlouf                 NN1     Z99 
Mossack                  VV0     Z99 
Nine                     MC      Z99 
Panama-based             JJ      Z99 
Pangates                 NN2@    Z99 
Pangates                 VVZ@    Z99 
Pyongyang                NP1     Z99 
Rami                     JJ      Z99 
Rami                     NN1     Z99 
sanctioned               JJ@     Z99 
STR                      NP1     Z99 
Twitter                  NN1     Z99 
wrong-doing              NN1     Z99 
