###                      FO      Z99 
**31;7;TOOLONG           FO      Z99 
A.B.B.                   NP1     Z99 
acetylcholine            NN1     Z99 
electrophysiological     JJ      Z99 
GABAergic                JJ      Z99 
H.D.M.                   NP1     Z99 
interneurons             NN2     Z99 
KNAW                     NP1     Z99 
learning-enhancing       JJ      Z99 
Mansvelder               NN1     Z99 
Mansvelder               NP1     Z99 
memory--a                NN1     Z99 
Meredith                 NP1     Z99 
neuronal                 JJ      Z99 
nicotine-like            JJ      Z99 
potentiation             NN1     Z99 
prefrontal               JJ      Z99 
Rhiannon                 NP1     Z99 
Spijker                  NN1     Z99 
spike-timing-dependent   JJ      Z99 
way-stations             NN2     Z99 
ZonMW                    NP1     Z99 
