#FieldsMedal             FO      Z99 
#MaryamMirzakhani        FO      Z99 
13-year                  JJ      Z99 
14-year-old              JJ      Z99 
Ahmadinejad              NP1     Z99 
Ahmadinejads             NP2     Z99 
anti-Americanism         NN1     Z99 
arms-for-hostages        NN2     Z99 
Bam                      NN1     Z99 
centrifuges              NN2     Z99 
doctoral                 JJ      Z99 
dossier                  NN1     Z99 
Immutability             NN1     Z99 
Iran-Contra              NP1     Z99 
Iranian-American         JJ      Z99 
Khamenei                 NP1     Z99 
Khomeini                 NP1     Z99 
kneejerk                 NN1     Z99 
Lausanne                 NP1     Z99 
photoshopped             VVD     Z99 
Qom                      NP1     Z99 
Quran                    NN1     Z99 
reformists               NN2     Z99 
Rezaian                  JJ      Z99 
ROUHANI                  JJ      Z99 
Rouhani                  NN2     Z99 
Rouhani                  NP1     Z99 
Rouhani                  NP1@    Z99 
Sahebeh                  NP1     Z99 
Savak                    NP1     Z99 
Shariah                  NP1     Z99 
Shias                    NN2@    Z99 
shouldnt                 VV0     Z99 
Sorkheh                  NP1     Z99 
strictures               NN2     Z99 
Tehran-based             JJ      Z99 
thinktank                NN1     Z99 
tweeted                  VVD     Z99 
tweeting                 VVG     Z99 
Twitter                  NN1     Z99 
weaponised               JJ      Z99 
