#WhereIWrite             FO      Z99 
app                      NN1     Z99 
apps                     VVZ     Z99 
Fly-X3                   NN1     Z99 
Hachette                 NP1     Z99 
iPhone                   NN1     Z99 
iPhone                   VV0     Z99 
live-stream              JJ      Z99 
live-stream-friendly     JJ      Z99 
live-streaming           JJ      Z99 
Livestream               NP1     Z99 
Meerkat                  NP1     Z99 
Meerkat                  VV0     Z99 
MightyMic                JJ      Z99 
Missouri                 NP1     Z99 
Periscope                NN1     Z99 
Periscope                NP1     Z99 
selfie                   NN1     Z99 
smartphone               NN1     Z99 
tripods                  NN2     Z99 
Twitter                  NN1     Z99 
Ustream                  NP1     Z99 
