***                      FO      Z99 
10-year-old              JJ      Z99 
120-degree               JJ      Z99 
1980s-era                NN1     Z99 
71-year-old              JJ      Z99 
72-year-old              JJ      Z99 
arm-in-arm               NN1     Z99 
assimilated              JJ      Z99 
atop                     II      Z99 
Bnai                     JJ      Z99 
Brith                    NN1@    Z99 
bused                    VVN     Z99 
cantor                   NN1     Z99 
Chabad                   NN1@    Z99 
Chabad                   NP1     Z99 
climes                   NN2     Z99 
craziness                NN1     Z99 
dais                     NN1     Z99 
dethumbed                VVN@    Z99 
FBI                      NP1     Z99 
fourth-grade             JJ      Z99 
frontrunner              NN1     Z99 
Harlig                   NN1     Z99 
Harlig                   NP1     Z99 
hed                      JJ@     Z99 
honorable                JJ      Z99 
hookah                   NN1     Z99 
Im                       VV0     Z99 
improbably               RR      Z99 
junket                   NN1     Z99 
Knowlton                 NP1     Z99 
least-glamorous          JJ      Z99 
lower-class              JJ      Z99 
Manhattanand             NP1     Z99 
mayoralty                NN1     Z99 
mitzvah                  NN122   Z99 
Mob-related              JJ      Z99 
mobsters                 NN2     Z99 
nemeses                  NN2     Z99 
nonpartisan              JJ      Z99 
nonprofit                JJ      Z99 
organized-crime          JJ      Z99 
ostracized               VVN     Z99 
phoniness                NN1     Z99 
rainmaker                NN1     Z99 
refracted                VVN     Z99 
remarkgraffiti           NN2     Z99 
Shabbat                  NP1     Z99 
showgirl                 NN1     Z99 
showgirls                NN2     Z99 
shul                     NN1     Z99 
shul                     VV0     Z99 
somnolent                JJ      Z99 
Spilotro                 NN1     Z99 
tallis                   NN2     Z99 
theyd                    NN1     Z99 
uncultured               JJ      Z99 
Vegas-fitting            JJ      Z99 
Vegasand                 NP1     Z99 
wasnt                    NN1     Z99 
wasnt                    VV0     Z99 
white-shoe               JJ      Z99 
Zappos                   NP1     Z99 
