**27;7;TOOLONG           JJ      Z99 
55%-40%                  FO      Z99 
Ariz                     NP1     Z99 
Biden                    NN1     Z99 
Biden                    NP1     Z99 
expletive                NN1     Z99 
Fullscreen               NN1     Z99 
Google+                  FO      Z99 
Gwynedd                  NP1     Z99 
Hanukkah                 NN1@    Z99 
Honolulu                 NP1     Z99 
laureates                NN2     Z99 
LinkedIn                 NN1     Z99 
Mesa                     NP1     Z99 
Minn.                    NP1     Z99 
miraculously             RR      Z99 
Oahu                     NN1     Z99 
Obama                    NN1     Z99 
Obama                    NN1@    Z99 
Obama                    NP1     Z99 
Obamacare                NP1     Z99 
Obamas                   NP2     Z99 
polarized                VVN     Z99 
refueling                JJ@     Z99 
TODAY/Suffolk            FU      Z99 
Twitter                  NN1     Z99 
under-delivery           NN1     Z99 
unfavorable              JJ      Z99 
Waconia                  NP1     Z99 
well-wishers             NN2     Z99 
wreath-laying            JJ      Z99 
