#ChrisWallace            FO      Z99 
#debate                  FO      Z99 
#DebateNight             FO      Z99 
@austinklavins           FO      Z99 
@CNYKFieLd               FO      Z99 
@cyvault                 FO      Z99 
@DRUDGE                  FO      Z99 
@harpandjoseph           FO      Z99 
@haydenchad20            FO      Z99 
@TLProfessor             FO      Z99 
@WrongThinkBlog          FO      Z99 
F**K                     FO      Z99 
hed                      JJ@     Z99 
hillary                  NN1     Z99 
Hillary                  NP1     Z99 
magoo                    NN1     Z99 
Mr.savage                NP1     Z99 
NUKE                     NN1     Z99 
Obama                    NP1     Z99 
Retweets                 VVZ     Z99 
Tharru                   NP1@    Z99 
theyd                    VV0     Z99 
TS/NC2                   FU      Z99 
tweet                    NN1     Z99 
WikiLeaks                NN2     Z99 
