**26;7;TOOLONG           FO      Z99 
*Threshold               FO      Z99 
12-inches                NNU2    Z99 
18feet                   FO      Z99 
30-foot                  JJ      Z99 
4+                       FO      Z99 
anti-climb               JJ      Z99 
below*                   FO      Z99 
bullet-proof             JJ      Z99 
constructible            JJ      Z99 
handholds                NN2     Z99 
mechanized               JJ@     Z99 
Offerors                 NN2     Z99 
Oxy/acetylene            NN1     Z99 
prevent/deter            VVI     Z99 
QSHCC                    NP1     Z99 
RFP                      NP1     Z99 
Sinaloa                  NP1     Z99 
sledgehammer             NN1     Z99 
T-shaped                 NN1     Z99 
Tritn                    NP1     Z99 
tunneling                VVG     Z99 
unassisted               JJ      Z99 
vaulting                 NN1     Z99 
Winnebagos               NP1     Z99 
