**49;7;TOOLONG           NN1     Z99 
Ajinomoto                NN1     Z99 
Ajinomoto                NP1     Z99 
Althea                   NN1     Z99 
Althea                   NP1     Z99 
biopharmaceutical        JJ      Z99 
Crystalomics             NP1     Z99 
d--                      JJ      Z99 
ICH-compliant            JJ      Z99 
lyophilization           NN1     Z99 
microbial-derived        JJ      Z99 
plasmid                  NN1     Z99 
recombinant              JJ      Z99 
TYO                      NP1     Z99 
USD                      NP1     Z99 
vials                    NN2     Z99 
