**27;7;TOOLONG           FU      Z99 
170,000-square-foot      FO      Z99 
3-T                      NP1     Z99 
accentsLoyola            NN1     Z99 
bar-coded                JJ      Z99 
caf                      NN1     Z99 
caringPatients           NN2     Z99 
carpetWalls              NN2     Z99 
catheterization          NN1     Z99 
catheterizations         NN2     Z99 
CatheterLoyola           NP1     Z99 
Catholic-Jesuit          JJ      Z99 
charting                 NN1@    Z99 
Chicago-area             JJ      Z99 
communicationBedside     NN1     Z99 
computer-controlled      JJ      Z99 
Considine                NP1     Z99 
diagnostics              NN1     Z99 
East-facing              JJ      Z99 
electromagnets           NN2     Z99 
electrophysiologist      NN1     Z99 
electrophysiology        NN1     Z99 
embellishmentsWood       NN1     Z99 
evidence-based           JJ      Z99 
flat-screen              JJ      Z99 
honored                  VVN@    Z99 
interventional           JJ      Z99 
invasive                 JJ      Z99 
Leaf-patterned           JJ      Z99 
Loyola                   NP1     Z99 
LUHS                     NN2     Z99 
LUHS                     NP2     Z99 
lunchesA                 NN1     Z99 
magnetic-guided          JJ      Z99 
magnetically             RR      Z99 
metal-tipped             JJ      Z99 
minimally                RR      Z99 
MRI                      JJ      Z99 
MRI                      NN2     Z99 
MRIA                     NN1     Z99 
MRIs                     NN1     Z99 
nature-inspired          NN1     Z99 
natureRestful            JJ      Z99 
Neurosurgeons            NN2     Z99 
non-invasive             JJ      Z99 
patient-specific         JJ      Z99 
pledged                  JJ%     Z99 
pre-operative            JJ      Z99 
privacy-coded            JJ      Z99 
Russo                    NN1     Z99 
super-strength           NN1     Z99 
Swiss-made               JJ      Z99 
tonesArtwork             NN1     Z99 
tumors                   NN2     Z99 
TVPatients               NP1     Z99 
ViewAll                  NP1     Z99 
waterfallEgyptian        JJ      Z99 
