**25;33;TOOLONG          NN1     Z99 
**25;7;TOOLONG           FU      Z99 
39-year-old              NN1@    Z99 
anti-Aristide            JJ      Z99 
atop                     II      Z99 
Auguste                  NP1     Z99 
better-known             JJR     Z99 
Carrefour                NP1     Z99 
compas                   NN2     Z99 
diapers                  NN2     Z99 
dismissively             RR      Z99 
Gardy                    JJ      Z99 
gated                    JJ@     Z99 
Hypollite                JJ      Z99 
Kandjo                   NP1     Z99 
Lt.                      NNB     Z99 
Madrid-based             JJ      Z99 
Manigat                  NP1     Z99 
Manigat                  NP1@    Z99 
Manigat                  VV0     Z99 
Martelly                 NP1     Z99 
Martelly                 RR      Z99 
Maryland-based           JJ      Z99 
merengue                 NN1     Z99 
Michel                   NP1     Z99 
Micky                    NP1     Z99 
Oloffson                 NN1@    Z99 
onstage                  JJ      Z99 
Ostos                    NP1     Z99 
paralyzed                VVD     Z99 
Petionville              NP1     Z99 
PORT-AU-PRINCE           NN1     Z99 
Port-au-Prince           NP1     Z99 
Pradines                 NP2     Z99 
Preval                   NN1     Z99 
pro-democracy            JJ      Z99 
provocateur              NN1     Z99 
sideshow                 NN1     Z99 
slowed-down              JJ      Z99 
Sola                     NP1     Z99 
storied                  JJ      Z99 
Twitter                  NN1     Z99 
York-based               JJ      Z99 
