**131;7;TOOLONG          FU      Z99 
Advest                   NP1     Z99 
Davie                    NP1     Z99 
Emory                    JJ      Z99 
Info@NatcoreSolar.com    FO      Z99 
internship               NN1     Z99 
JD                       NP1     Z99 
Natcore                  NN1     Z99 
Natcore                  NP1     Z99 
Rulemaking               VVG     Z99 
self-regulatory          JJ      Z99 
Southeastern             JJ      Z99 
TSX                      NP1     Z99 
visit:http               FO      Z99 
