**30;39;TOOLONG          FO      Z99 
**31;7;TOOLONG           FU      Z99 
America-hating           JJ      Z99 
anti-American            JJ      Z99 
anti-white               JJ      Z99 
Bansal                   NN1     Z99 
Bansal                   NP1     Z99 
befouled                 VVD     Z99 
blogger                  NN1     Z99 
bloggers                 NN2     Z99 
boards/agencies/policy   FU      Z99 
boards/commissions       NN2     Z99 
DOJ                      NP1     Z99 
Forwarded                JJ@     Z99 
Froman                   NP1     Z99 
FW                       NP1     Z99 
Fwd                      NN1     Z99 
Islamist                 NN1     Z99 
john.podesta@gmail.com   FO      Z99 
Matthew'                 NP1     Z99 
non-white                JJ      Z99 
NYC                      NP1     Z99 
Obama                    NN1     Z99 
Obama                    NP1     Z99 
Onek                     NP1     Z99 
Podesta                  NP1     Z99 
Preeta                   NP1     Z99 
Race-based               JJ      Z99 
Secretary-level          JJ      Z99 
sub-cabinet              JJ      Z99 
white-hating             JJ      Z99 
WikiLeaks                NN2     Z99 
WikiLeaks                NP1@    Z99 
