#BlackLivesMatter        FO      Z99 
#Pantsuitpower           FO      Z99 
'power                   NN1     Z99 
49ers                    FO      Z99 
blazer'                  NN1     Z99 
boppy                    JJ      Z99 
choreographer            NN1     Z99 
choreographers           NN2     Z99 
contagiously             RR      Z99 
Crishon                  NN1     Z99 
D.C.-based               JJ      Z99 
directorial              JJ      Z99 
disco-pop                NN1     Z99 
feature-film             JJ      Z99 
flashmob                 NN1     Z99 
Flashmob                 VV0@    Z99 
go-to                    NN1     Z99 
HBO                      NP1     Z99 
Hillary                  NP1     Z99 
hiphop                   NN1     Z99 
hiphop                   VV0     Z99 
honor                    VVI     Z99 
indentists               NN2     Z99 
Instagram                NP1     Z99 
Landers                  NN2     Z99 
Lidofsky                 NP1     Z99 
O'Connor/The             FU      Z99 
pantsuit                 NN1     Z99 
pantsuits                NN2     Z99 
pinstriped               JJ@     Z99 
pushback                 NN1     Z99 
quarterback              NN1     Z99 
rehearsalsand            NN1     Z99 
Rowlson-Hall             NP1     Z99 
Timberlake               NP1     Z99 
Topshop                  NP1     Z99 
troupes                  NN2     Z99 
Video3:26                FO      Z99 
videotaped               VVD     Z99 
Vimeo                    NP1     Z99 
votersand                NN1     Z99 
wellis                   VVZ     Z99 
York-based               JJ      Z99 
