**26;7;TOOLONG           FU      Z99 
@AnnCompton              FO      Z99 
@MillerCenter            FO      Z99 
@pastpunditry            FO      Z99 
Albright                 NP1     Z99 
Benghazi                 NP1     Z99 
Brookings                NP1     Z99 
caselaw                  NN1     Z99 
Cato                     NN1     Z99 
client-side              JJ      Z99 
co-partisans             NN2     Z99 
Comey                    NP1     Z99 
comically                RR      Z99 
Condoleezza              NN1     Z99 
debunking                VVG     Z99 
denizens                 NN2     Z99 
Department-issue         JJ      Z99 
dissimulation            NN1     Z99 
double-fisting           JJ      Z99 
email-related            JJ      Z99 
emailgate                NN1     Z99 
FBI                      NP1     Z99 
FOIA                     NN1     Z99 
FOIA                     NP1     Z99 
FOIA-dodging             NN1     Z99 
Gmail                    NN1     Z99 
Gmail                    NP1@    Z99 
Gorin                    NP1     Z99 
Hillary                  NP1     Z99 
inscribing               NN1@    Z99 
iPad                     NN1     Z99 
iPhone                   NN1     Z99 
iPhones                  NN2     Z99 
Lawfare                  NN1     Z99 
micro-news               NN1     Z99 
mishandle                VVI     Z99 
newscasts                NN2     Z99 
non-malicious            JJ      Z99 
off-site                 JJ      Z99 
Peet                     NP1@    Z99 
pileup                   NN1     Z99 
Politifact               NP1     Z99 
pseudo-scandals          NN2     Z99 
recitations              NN2     Z99 
record-keeping           NN1     Z99 
redacted                 VVN@    Z99 
reinscribing             VVG     Z99 
remorseful               JJ      Z99 
scandal''                NN1     Z99 
Schmidt                  NP1     Z99 
searchable               JJ      Z99 
signup                   NN1     Z99 
sloppiness               NN1     Z99 
smartphone               NN1     Z99 
smartphones              NN2     Z99 
State.gov                NP1     Z99 
then-current             JJ      Z99 
unsaid                   VVN     Z99 
vagueness                NN1     Z99 
Weiner                   NN1     Z99 
workaround               NN1     Z99 
workarounds              NN2     Z99 
