#MakeDonaldDrumpfAgain   FO      Z99 
$20                      NNU     Z99 
$250,000                 NNU     Z99 
'a                       UH      Z99 
'See                     NN1     Z99 
'You                     NNU     Z99 
bigot'                   NN1     Z99 
CNN                      NP1     Z99 
counterpoints            NN2     Z99 
DonaldJDrumpf.com        NP1     Z99 
Drumpf                   NP1     Z99 
Drumpf                   VV0     Z99 
Klan                     NP1     Z99 
multimillion-dollar      NNU1    Z99 
PolitiFact               NN1     Z99 
pro-choice               JJ@     Z99 
pro-life                 NN1     Z99 
racist'                  VV0     Z99 
short-fingered           JJ      Z99 
supremacists             NN2     Z99 
uncouple                 VVI     Z99 
vulgarian                NN1     Z99 
